2025-10-25 18:33:41,419 | INFO | 📄 Saved 901 chunks for doc_id=SE-AM Manual Book 2566 ฉบับสมบูรณ์ into vectorstore/document/SE-AM Manual Book 2566 ฉบับสมบูรณ์
2025-10-25 18:33:41,419 | INFO | Processed SE-AM Manual Book 2566 ฉบับสมบูรณ์.pdf -> doc_id: SE-AM Manual Book 2566 ฉบับสมบูรณ์ (901 chunks) in doc_type=document
2025-10-25 18:33:43,808 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:43,809 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:45,427 | INFO | 📄 Saved 332 chunks for doc_id=2567-PEA into vectorstore/document/2567-PEA
2025-10-25 18:33:45,428 | INFO | Processed 2567-PEA.pdf -> doc_id: 2567-PEA (332 chunks) in doc_type=document
2025-10-25 18:33:47,903 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:47,904 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:49,468 | INFO | 📄 Saved 332 chunks for doc_id=2566-PEA into vectorstore/document/2566-PEA
2025-10-25 18:33:49,468 | INFO | Processed 2566-PEA.pdf -> doc_id: 2566-PEA (332 chunks) in doc_type=document
2025-10-25 18:33:52,373 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:52,374 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:52,477 | INFO | 📄 Saved 12 chunks for doc_id=รายงานเชิงบรรยายที่ถูกสร้างโดย LLM into vectorstore/document/รายงานเชิงบรรยายที่ถูกสร้างโดย LLM
2025-10-25 18:33:52,477 | INFO | Processed รายงานเชิงบรรยายที่ถูกสร้างโดย LLM.docx -> doc_id: รายงานเชิงบรรยายที่ถูกสร้างโดย LLM (12 chunks) in doc_type=document
2025-10-25 18:33:55,314 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:55,315 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:58,812 | INFO | 📄 Saved 557 chunks for doc_id=PEA คำอธิบาย 2567 into vectorstore/document/PEA คำอธิบาย 2567
2025-10-25 18:33:58,812 | INFO | Processed PEA คำอธิบาย 2567.pdf -> doc_id: PEA คำอธิบาย 2567 (557 chunks) in doc_type=document
2025-10-25 18:33:58,860 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 18:33:58,860 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 18:33:58,924 | INFO | 📄 Saved 10 chunks for doc_id=Private LLM TOR into vectorstore/document/Private LLM TOR
2025-10-25 18:33:58,924 | INFO | Processed Private LLM TOR.docx -> doc_id: Private LLM TOR (10 chunks) in doc_type=document
2025-10-25 18:33:58,924 | INFO | Shutting down VectorStoreExecutorSingleton ThreadPoolExecutor...
2025-10-25 18:33:58,924 | INFO | --- Ingestion Batch Process Finished ---
2025-10-25 19:08:20,527 | INFO | 🛑 Application shutdown complete.
